Temperature(kT) 	 Energy 	 Magnetization 	 Specific Heat 	 Susceptibility 
1.080000	0.000026	167400000.000000	0.093146	0.137911
1.090000	-0.154481	-314172000000.000000	74.328646	0.027296
1.100000	-0.000336	52569000000.000000	2.593859	0.251115
1.110000	-0.045797	-198757800000.000000	34.351496	0.055991
1.120000	-0.067910	-202530600000.000000	32.458928	0.062451
1.130000	-0.172597	340322400000.000000	83.812027	0.059419
1.140000	-0.205373	383166000000.000000	90.395126	0.077213
1.150000	-0.041268	-167961600000.000000	22.266787	0.048884
1.160000	-0.043821	-144475200000.000000	15.266870	0.029994
1.170000	-0.140101	313644600000.000000	62.542301	0.056745
1.180000	-0.006126	56138400000.000000	2.351364	0.051061
1.190000	-0.033130	-148611600000.000000	15.790568	0.033719
1.200000	-0.005492	-67314600000.000008	3.281717	0.073835
1.210000	-0.000594	-14758200000.000002	0.174872	0.035619
1.220000	-0.128518	296445600000.000000	52.369042	0.073906
1.230000	-0.010799	-119734200000.000015	9.722076	0.056150
1.240000	-0.146321	-289348200000.000000	49.869485	0.026129
1.250000	-0.016256	-125256600000.000015	10.581095	0.020090
1.260000	-0.067594	-211192200000.000000	28.234228	0.134479
1.270000	-0.003198	-55580400000.000000	1.993385	0.072970
1.280000	-0.001101	21213000000.000000	0.302586	0.008128
1.290000	-0.002130	-50347800000.000000	1.648333	0.109410
1.300000	-0.085357	222341400000.000000	25.047555	0.147205
1.310000	-0.014599	91218600000.000000	5.191622	0.059884
1.320000	-0.091746	232428600000.000031	27.738543	0.021983
1.330000	-0.041129	-148977000000.000000	12.432432	0.127551
1.340000	-0.009477	94894200000.000000	5.103154	0.048902
1.350000	-0.135674	297986400000.000000	42.285131	0.054906
1.360000	-0.001048	20010600000.000000	0.242743	0.029089
1.370000	-0.023438	-125283600000.000015	8.637097	0.080044
1.380000	-0.016482	-100978200000.000000	5.119285	0.108584
1.390000	-0.010959	-103293000000.000000	5.742131	0.027270
1.400000	-0.176879	351196200000.000000	50.026831	0.213311
1.410000	-0.045954	-147933000000.000000	10.540335	0.023990
1.420000	-0.075910	238062600000.000031	26.727009	0.069023
1.430000	-0.041840	152076600000.000000	10.790961	0.059661
1.440000	-0.044370	-158531400000.000000	10.860162	0.140789
1.450000	-0.027944	131668200000.000015	7.829948	0.096873
1.460000	-0.066250	-190056600000.000000	15.277166	0.044434
1.470000	0.000146	1693800000.000000	0.011319	0.019391
1.480000	-0.062509	206064000000.000000	19.393696	0.296413
1.490000	-0.216446	-363031200000.000000	43.984863	0.055827
1.500000	-0.007751	56536200000.000000	1.425268	0.022127
